# Kazakh Test Set — seed file
# Цель Day 7: ~50 слов demo-set (scope уменьшен с 500 после career-pivot Day 2).
# Tab-separated. См. paper/experiments/README.md за объяснением колонок.
#
# Структура файла:
#   1. 15 seed слов от Karpathy (строки 11-25).
#   2. Закомментированные ранние попытки студента (формат TSV не задался — перенесли в draft).
#   3. 50 draft строк от deep-researcher (Apertium-kaz lexc + Wiktionary) — нужен native verify.
#
word	morpheme_split	gloss	pos	category	notes
барады	бар-а-ды	go-PRES-3	VERB	verb_finite	Present: stem+aorist converb -а + 3sg -ды
келдім	кел-ді-м	come-PST-1SG	VERB	verb_finite	Past: front stem → -ді + 1SG -м
жазады	жаз-а-ды	write-PRES-3	VERB	verb_finite	Present 3sg back-vowel
оқыдым	оқы-ды-м	read-PST-1SG	VERB	verb_finite	Vowel-final stem + past -ды + 1SG -м
барар	бар-ар	go-FUT	VERB	verb_finite	Aorist/future back stem
бармайды	бар-ма-й-ды	go-NEG-PRES-3	VERB	verb_negative	NEG -ма + converb -й + 3sg -ды
келмеді	кел-ме-ді	come-NEG-PST-3	VERB	verb_negative	NEG -ме + past -ді + 3SG zero
оқымаймын	оқы-ма-й-мын	read-NEG-PRES-1SG	VERB	verb_negative	native confirmed
барған	бар-ған	go-PTCP.PST	VERB	verb_participle	Past participle: back stem → -ған
келген	кел-ген	come-PTCP.PST	VERB	verb_participle	Past participle: front stem → -ген
жазатын	жаз-атын	write-PTCP.HAB	VERB	verb_participle	Habitual participle
жазушы	жаз-ушы	write-AGENT	NOUN	derivational	native confirmed (split analysis -ушы as suffix)
әнші	ән-ші	song-AGENT	NOUN	derivational	Front stem ән + -ші
еркіндік	еркін-дік	free-ABSTR.N	NOUN	derivational	Adjectival root + -дік
бір	бір	one	NUM	function_word	Monomorphemic cardinal
екі	екі	two	NUM	function_word	Monomorphemic cardinal
неге	неге	why	ADV	function_word	lexicalized: исторически не+ге (what-DAT), но носитель чувствует как монолит → KEY paper example
қашан	қашан	when	ADV	function_word	Monomorphemic interrogative adverb
теміржол	темір-жол	iron-road	NOUN	compound	N+N compound: темір (iron) + жол (road) = railway
арыстан	арыстан	lion	NOUN	loanword	Old Turkic arslan (НЕ персидский — частая ошибка)
мұғалім	мұғалім	teacher	NOUN	loanword	Arabic muʕallim via Persian
жұмыс	жұмыс	work	NOUN	basic_noun	Proto-Turkic *yumuĺ; native
# ---- END DRAFT ----
